run,step,task,primary_metric,primary_score,n_items,tok_mean,tok_corr_mean,tok_inc_mean
Baseline,100,aime,pass_at_1,0.0010416666666666667,30,2628.265625,2823.03125,2621.549568965517
Baseline,100,alpaca_eval,length_controlled_winrate,1.3145990691377871,805,2715.03850931677,,
Baseline,100,ifeval_mt_wildchat_unused_withRewrite,prompt_level_loose_acc,0.3528748590755355,1774,1906.4797068771138,1385.332268370607,2190.659407665505
Baseline,100,ifeval_mt_ood_wildchat_unused_withRewrite,prompt_level_loose_acc,0.2768565248738284,1387,2138.7851478010093,2085.6822916666665,2159.1156530408775
Baseline,100,ifeval_ood,prompt_level_loose_acc,0.17,300,3633.7933333333335,3265.627450980392,3709.2008032128515
Baseline,100,livecodebench_codegeneration,pass_at_1,0.03758169934640523,612,2041.5702614379086,471.4347826086956,2102.8828522920203
Baseline,100,minerva_math_500,exact_match_flex,0.23,500,2262.802,354.90434782608696,2832.6935064935064
Baseline,200,aime,pass_at_1,0.0020833333333333333,30,2029.0822916666666,2222.28125,2015.2823660714287
Baseline,200,alpaca_eval,length_controlled_winrate,2.570002025506132,805,1938.9341614906832,,
Baseline,200,ifeval_mt_wildchat_unused_withRewrite,prompt_level_loose_acc,0.4616685456595265,1774,1224.759301014656,879.7887667887668,1520.6031413612566
Baseline,200,ifeval_mt_ood_wildchat_unused_withRewrite,prompt_level_loose_acc,0.32588320115356884,1387,1484.286950252343,1367.033185840708,1540.9700534759359
Baseline,200,ifeval_ood,prompt_level_loose_acc,0.22666666666666666,300,2202.5833333333335,2265.205882352941,2184.228448275862
Baseline,200,livecodebench_codegeneration,pass_at_1,0.049019607843137254,612,915.1503267973857,356.2,943.9621993127148
Baseline,200,minerva_math_500,exact_match_flex,0.34,500,1502.036,454.00588235294117,2041.930303030303
Baseline,300,aime,pass_at_1,0.00833333333333333,30,1683.7291666666667,1019.484375,1731.1752232142858
Baseline,300,alpaca_eval,length_controlled_winrate,3.9093984517794595,805,1531.3714285714286,,
Baseline,300,livecodebench_codegeneration,pass_at_1,0.05228758169934641,612,650.3284313725491,216.46875,674.2655172413793
Baseline,300,minerva_math_500,exact_match_flex,0.462,500,970.312,380.030303030303,1477.2081784386617
Baseline,400,aime,pass_at_1,0.006249999999999996,30,1753.4177083333334,1522.46875,1779.0787037037037
Baseline,400,alpaca_eval,length_controlled_winrate,5.812951216992601,805,1251.0385093167702,,
Baseline,400,ifeval_mt_wildchat_unused_withRewrite,prompt_level_loose_acc,0.5834272829763247,1774,814.7773393461105,475.52657004830917,1289.9120433017592
Baseline,400,ifeval_mt_ood_wildchat_unused_withRewrite,prompt_level_loose_acc,0.441240086517664,1387,917.5472242249459,658.2483660130719,1122.3096774193548
Baseline,400,ifeval_ood,prompt_level_loose_acc,0.32666666666666666,300,1320.5833333333333,1172.234693877551,1392.5544554455446
Baseline,400,livecodebench_codegeneration,pass_at_1,0.05555555555555555,612,248.26307189542484,88.6470588235294,257.6522491349481
Baseline,400,minerva_math_500,exact_match_flex,0.484,500,925.8,371.08677685950414,1446.1124031007753
Baseline,500,aime,pass_at_1,0.005208333333333333,30,1042.4979166666667,792.6979166666666,1070.2534722222222
Baseline,500,alpaca_eval,length_controlled_winrate,4.948650131745882,805,1062.47950310559,,
Baseline,500,ifeval_mt_wildchat_unused_withRewrite,prompt_level_loose_acc,0.6054114994363021,1774,667.456595264938,434.9478584729981,1024.1914285714286
Baseline,500,ifeval_mt_ood_wildchat_unused_withRewrite,prompt_level_loose_acc,0.4787310742609949,1387,819.7865897620765,542.1490963855422,1074.7676348547718
Baseline,500,ifeval_ood,prompt_level_loose_acc,0.3433333333333333,300,1051.7266666666667,644.2621359223301,1264.766497461929
Baseline,500,livecodebench_codegeneration,pass_at_1,0.06045751633986928,612,167.71732026143792,71.86486486486487,173.88521739130434
Baseline,500,minerva_math_500,exact_match_flex,0.492,500,757.446,376.6829268292683,1126.216535433071
Baseline,600,aime,pass_at_1,0.00625,30,1087.9520833333333,951.6640625,1108.9194711538462
Baseline,600,alpaca_eval,length_controlled_winrate,5.565943112485924,805,1071.135403726708,,
Baseline,600,ifeval_mt_wildchat_unused_withRewrite,prompt_level_loose_acc,0.6544532130777903,1774,619.7130777903044,387.687338501292,1059.1615008156607
Baseline,600,ifeval_mt_ood_wildchat_unused_withRewrite,prompt_level_loose_acc,0.5010814708002884,1387,778.098774333093,489.7568345323741,1067.6907514450868
Baseline,600,ifeval_ood,prompt_level_loose_acc,0.37666666666666665,300,903.38,473.8141592920354,1162.957219251337
Baseline,600,livecodebench_codegeneration,pass_at_1,0.06372549019607843,612,193.09803921568627,76.2051282051282,201.05410122164048
Baseline,600,minerva_math_500,exact_match_flex,0.484,500,831.686,396.1570247933884,1240.2054263565892
Baseline,700,aime,pass_at_1,0.011458333333333326,30,951.83125,824.84375,965.9409722222222
Baseline,700,alpaca_eval,length_controlled_winrate,5.82645634280471,805,978.104347826087,,
Baseline,700,ifeval_mt_wildchat_unused_withRewrite,prompt_level_loose_acc,0.6798196166854565,1774,465.96392333709133,309.4676616915423,798.2429577464789
Baseline,700,ifeval_mt_ood_wildchat_unused_withRewrite,prompt_level_loose_acc,0.5219899062725306,1387,731.7620764239366,542.4378453038674,938.5052790346908
Baseline,700,ifeval_ood,prompt_level_loose_acc,0.39666666666666667,300,887.2866666666666,469.6890756302521,1161.8397790055249
Baseline,700,livecodebench_codegeneration,pass_at_1,0.05555555555555555,612,179.23366013071896,74.44117647058823,185.39792387543253
Baseline,700,minerva_math_500,exact_match_flex,0.426,500,711.284,351.84037558685446,978.0487804878048
Baseline,800,aime,pass_at_1,0.02812499999999999,30,1770.5854166666666,1259.6375,1872.775
Baseline,800,alpaca_eval,length_controlled_winrate,5.759527482781114,805,1037.551552795031,,
Baseline,800,ifeval_mt_wildchat_unused_withRewrite,prompt_level_loose_acc,0.7164599774520857,1774,549.6465614430665,346.9000786782061,1061.9542743538768
Baseline,800,ifeval_mt_ood_wildchat_unused_withRewrite,prompt_level_loose_acc,0.5270367700072098,1387,830.8017303532805,526.0410396716826,1170.405487804878
Baseline,800,ifeval_ood,prompt_level_loose_acc,0.39666666666666667,300,1021.9366666666666,627.4789915966387,1281.2762430939226
Baseline,800,livecodebench_codegeneration,pass_at_1,0.06045751633986928,612,177.5,70.62162162162163,184.37739130434784
Baseline,800,minerva_math_500,exact_match_flex,0.468,500,1010.976,413.36752136752136,1536.6917293233082
Baseline,900,aime,pass_at_1,0.008333333333333333,30,1967.2854166666666,1575.09375,2010.8622685185185
Baseline,900,alpaca_eval,length_controlled_winrate,6.265893789926806,805,1002.8173913043478,,
Baseline,900,ifeval_mt_wildchat_unused_withRewrite,prompt_level_loose_acc,0.7068771138669673,1774,492.793122886133,303.27352472089314,949.8269230769231
Baseline,900,ifeval_mt_ood_wildchat_unused_withRewrite,prompt_level_loose_acc,0.5407354001441961,1387,790.720259552992,506.5493333333333,1125.3014128728414
Baseline,900,ifeval_ood,prompt_level_loose_acc,0.3933333333333333,300,906.8166666666667,847.0338983050848,945.5769230769231
Baseline,900,livecodebench_codegeneration,pass_at_1,0.07679738562091504,612,183.72875816993465,76.34042553191489,192.66194690265488
Baseline,900,minerva_math_500,exact_match_flex,0.506,500,1008.322,439.24110671936756,1591.2267206477734
Baseline,1000,aime,pass_at_1,0.012499999999999992,30,1840.403125,1600.2625,1888.43125
Baseline,1000,alpaca_eval,length_controlled_winrate,6.558742475001905,805,1067.0285714285715,,
Baseline,1000,ifeval_mt_wildchat_unused_withRewrite,prompt_level_loose_acc,0.7333709131905298,1774,423.8105975197294,279.2997694081476,821.291754756871
Baseline,1000,ifeval_mt_ood_wildchat_unused_withRewrite,prompt_level_loose_acc,0.5565969718817592,1387,768.2754145638067,396.4896373056995,1234.9723577235773
Baseline,1000,ifeval_ood,prompt_level_loose_acc,0.43666666666666665,300,717.4566666666667,470.0534351145038,909.2307692307693
Baseline,1000,livecodebench_codegeneration,pass_at_1,0.07679738562091504,612,174.2156862745098,73.48936170212765,182.59469026548672
Baseline,1000,minerva_math_500,exact_match_flex,0.542,500,1157.528,429.58671586715866,2018.9781659388645
Linear α=1.0,100,aime,pass_at_1,0.0,30,122.44791666666667,,122.44791666666667
Linear α=1.0,100,alpaca_eval,length_controlled_winrate,0.938402568083602,805,540.1863354037267,,
Linear α=1.0,100,ifeval_mt_wildchat_unused_withRewrite,prompt_level_loose_acc,0.3246899661781285,1774,428.58624577226607,345.62847222222223,468.4724540901502
Linear α=1.0,100,ifeval_mt_ood_wildchat_unused_withRewrite,prompt_level_loose_acc,0.2898341744772891,1387,528.6553713049748,491.7960199004975,543.6984771573605
Linear α=1.0,100,ifeval_ood,prompt_level_loose_acc,0.3566666666666667,300,206.67333333333335,263.57943925233644,175.12435233160622
Linear α=1.0,100,livecodebench_codegeneration,pass_at_1,0.0,612,151.23202614379085,,151.23202614379085
Linear α=1.0,100,minerva_math_500,exact_match_flex,0.034,500,145.854,263.3529411764706,141.7184265010352
Linear α=1.0,200,aime,pass_at_1,0.0,30,13.142708333333333,,13.142708333333333
Linear α=1.0,200,alpaca_eval,length_controlled_winrate,1.9751693291218064,805,271.92049689440995,,
Linear α=1.0,200,ifeval_mt_wildchat_unused_withRewrite,prompt_level_loose_acc,0.37485907553551295,1774,246.30383314543406,246.56541353383457,246.14697926059512
Linear α=1.0,200,ifeval_mt_ood_wildchat_unused_withRewrite,prompt_level_loose_acc,0.3561643835616438,1387,255.64023071377073,185.17206477732793,294.6226203807391
Linear α=1.0,200,ifeval_ood,prompt_level_loose_acc,0.3466666666666667,300,38.17666666666667,98.20192307692308,6.326530612244898
Linear α=1.0,200,livecodebench_codegeneration,pass_at_1,0.0,612,2.423202614379085,,2.423202614379085
Linear α=1.0,200,minerva_math_500,exact_match_flex,0.096,500,18.522,30.375,17.263274336283185
Linear α=1.0,300,aime,pass_at_1,0.004166666666666663,30,7.8625,7.875,7.862068965517241
Linear α=1.0,300,alpaca_eval,length_controlled_winrate,4.479612771317686,805,309.82608695652175,,
Linear α=1.0,300,ifeval_mt_wildchat_unused_withRewrite,prompt_level_loose_acc,0.43573844419391206,1774,219.00281848928975,174.3221216041397,253.5064935064935
Linear α=1.0,300,ifeval_mt_ood_wildchat_unused_withRewrite,prompt_level_loose_acc,0.40447007930785867,1387,217.24513338139872,163.36007130124779,253.84261501210653
Linear α=1.0,300,ifeval_ood,prompt_level_loose_acc,0.37666666666666665,300,54.06333333333333,64.6283185840708,47.67914438502674
Linear α=1.0,300,livecodebench_codegeneration,pass_at_1,0.0032679738562091504,612,6.73202614379085,73.0,6.5147540983606556
Linear α=1.0,300,minerva_math_500,exact_match_flex,0.214,500,18.45,16.373831775700936,19.015267175572518
Linear α=1.0,400,aime,pass_at_1,0.004166666666666663,30,7.76875,8.0,7.760775862068965
Linear α=1.0,400,alpaca_eval,length_controlled_winrate,4.029070810603545,805,308.1801242236025,,
