step,loss,pg_loss,pg_clipfrac,ppo_kl,ess_ratio,train_rollout_logprob_abs_diff,train_rollout_kl,tis,tis_clipfrac,tis_abs,auxiliary_load_balancing,auxiliary_router_z,lr-pg_0,lr-pg_1,lr_used-pg_0,lr_used-pg_1,grad_norm
1,-6.757676601409912e-06,-6.757676601409912e-06,0.0,0.0,1.0,0.006397358141839504,0.00010190129250986502,1.0000832080841064,0.0,0.0063977548852562904,0.1936181902885437,8.519018322229387e-05,1e-06,1e-06,1e-06,1e-06,0.1174415573477745
2,1.971609890460968e-06,1.971609890460968e-06,0.0,0.0,1.0,0.007138377986848354,0.0001196760858874768,0.9999562501907349,0.0,0.007135632447898388,0.19396926283836366,8.969191376119853e-05,1e-06,1e-06,1e-06,1e-06,0.13290444016456604
3,2.6771333068609238e-05,2.6771333068609238e-05,0.0,0.0,1.0,0.0071060750633478165,0.00011831882875412703,1.0000638961791992,0.0,0.00710675586014986,0.19377990156412125,8.675846159458161e-05,1e-06,1e-06,1e-06,1e-06,0.20475460588932037
4,2.0541250705718994e-05,2.0541250705718994e-05,0.0,0.0,1.0,0.010498156771063805,0.0003980466572102159,1.0000901222229004,1.354573032585904e-05,0.010513946413993835,0.19295124650001527,8.664217161014675e-05,1e-06,1e-06,1e-06,1e-06,0.15171517431735992
5,8.221715688705444e-06,8.221715688705444e-06,0.0,0.0,1.0,0.01047492865473032,0.0003660251386463642,1.0000505447387695,0.0,0.010473819449543953,0.19443774491548538,8.628859207034112e-05,1e-06,1e-06,1e-06,1e-06,0.18449170887470245
6,3.0994415283203125e-06,3.0994415283203125e-06,0.0,0.0,1.0,0.006442840211093426,0.00010390626266598701,0.9999669790267944,0.0,0.006438395939767361,0.19314456820487974,8.464761335402727e-05,1e-06,1e-06,1e-06,1e-06,0.10869277268648148
7,1.751817762851715e-06,1.751817762851715e-06,0.0,0.0,1.0,0.007117691449820995,0.00011933430505450815,0.9999682903289795,0.0,0.007114287465810776,0.1935073861479759,8.592262730002404e-05,1e-06,1e-06,1e-06,1e-06,0.20923329889774323
8,1.9744038581848145e-06,1.9744038581848145e-06,0.0,0.0,1.0,0.01005733385682106,0.0003479114966467023,0.9997879266738892,1.6837284420034848e-05,0.010046926327049732,0.19351602226495745,8.390763536095618e-05,1e-06,1e-06,1e-06,1e-06,0.289604127407074
9,-2.1629035472869873e-05,-2.1629035472869873e-05,0.0,0.0,1.0,0.007418885827064514,0.00012171470007160679,1.0000603199005127,0.0,0.007416246458888054,0.19472128868103028,8.61396722495556e-05,1e-06,1e-06,1e-06,1e-06,0.24880774319171906
10,-3.010779619216919e-05,-3.010779619216919e-05,0.0,0.0,1.0,0.010041801258921623,0.00036340838414616883,0.9999258518218994,0.0,0.010019797831773758,0.19394225180149077,8.477600561454892e-05,1e-06,1e-06,1e-06,1e-06,0.18880589306354523
11,-5.95487654209137e-06,-5.95487654209137e-06,0.0,0.0,1.0,0.00930800661444664,0.00032707524951547384,0.9998197555541992,0.0,0.009282540529966354,0.19212428689002992,8.520974799990655e-05,1e-06,1e-06,1e-06,1e-06,0.19149823486804962
12,6.0614198446273804e-05,6.0614198446273804e-05,0.0,0.0,1.0,0.010424461215734482,0.00036578014260157943,1.0000989437103271,0.0,0.010423174127936363,0.1947824701666832,9.033308178186416e-05,1e-06,1e-06,1e-06,1e-06,0.17610836029052734
13,1.2890435755252838e-05,1.2890435755252838e-05,0.0,0.0,1.0,0.009844912216067314,0.0003569849650375545,1.0000783205032349,0.0,0.00985290389508009,0.19339002341032027,8.453534493222833e-05,1e-06,1e-06,1e-06,1e-06,0.16078853607177734
14,1.4590099453926086e-05,1.4590099453926086e-05,0.0,0.0,1.0,0.011070264503359795,0.0003899168805219233,0.9998893737792969,0.0,0.01105542667210102,0.1944717028737068,8.468884026631714e-05,1e-06,1e-06,1e-06,1e-06,0.21560397744178772
