"dataset_index","id","name","solve_rate"
"0","5tmpioqg","deepseek1.5b_aime_brumo_eval_20260327_181420_step_4400","1"
"1","5tmpioqg","deepseek1.5b_aime_brumo_eval_20260327_181420_step_4400","0.8125"
"2","5tmpioqg","deepseek1.5b_aime_brumo_eval_20260327_181420_step_4400","1"
"3","5tmpioqg","deepseek1.5b_aime_brumo_eval_20260327_181420_step_4400","0.96875"
"4","5tmpioqg","deepseek1.5b_aime_brumo_eval_20260327_181420_step_4400","0.5"
"5","5tmpioqg","deepseek1.5b_aime_brumo_eval_20260327_181420_step_4400","1"
"6","5tmpioqg","deepseek1.5b_aime_brumo_eval_20260327_181420_step_4400","0"
"7","5tmpioqg","deepseek1.5b_aime_brumo_eval_20260327_181420_step_4400","1"
"8","5tmpioqg","deepseek1.5b_aime_brumo_eval_20260327_181420_step_4400","0.09375"
"9","5tmpioqg","deepseek1.5b_aime_brumo_eval_20260327_181420_step_4400","0"
"10","5tmpioqg","deepseek1.5b_aime_brumo_eval_20260327_181420_step_4400","0"
"11","5tmpioqg","deepseek1.5b_aime_brumo_eval_20260327_181420_step_4400","0.03125"
"12","5tmpioqg","deepseek1.5b_aime_brumo_eval_20260327_181420_step_4400","0"
"13","5tmpioqg","deepseek1.5b_aime_brumo_eval_20260327_181420_step_4400","0.03125"
"14","5tmpioqg","deepseek1.5b_aime_brumo_eval_20260327_181420_step_4400","0"
"15","5tmpioqg","deepseek1.5b_aime_brumo_eval_20260327_181420_step_4400","1"
"16","5tmpioqg","deepseek1.5b_aime_brumo_eval_20260327_181420_step_4400","1"
"17","5tmpioqg","deepseek1.5b_aime_brumo_eval_20260327_181420_step_4400","0"
"18","5tmpioqg","deepseek1.5b_aime_brumo_eval_20260327_181420_step_4400","0.96875"
"19","5tmpioqg","deepseek1.5b_aime_brumo_eval_20260327_181420_step_4400","0.09375"
"20","5tmpioqg","deepseek1.5b_aime_brumo_eval_20260327_181420_step_4400","0.34375"
"21","5tmpioqg","deepseek1.5b_aime_brumo_eval_20260327_181420_step_4400","0.6875"
"22","5tmpioqg","deepseek1.5b_aime_brumo_eval_20260327_181420_step_4400","0"
"23","5tmpioqg","deepseek1.5b_aime_brumo_eval_20260327_181420_step_4400","0.21875"
"24","5tmpioqg","deepseek1.5b_aime_brumo_eval_20260327_181420_step_4400","0.375"
"25","5tmpioqg","deepseek1.5b_aime_brumo_eval_20260327_181420_step_4400","0"
"26","5tmpioqg","deepseek1.5b_aime_brumo_eval_20260327_181420_step_4400","0.21875"
"27","5tmpioqg","deepseek1.5b_aime_brumo_eval_20260327_181420_step_4400","0"
"28","5tmpioqg","deepseek1.5b_aime_brumo_eval_20260327_181420_step_4400","0.25"
"29","5tmpioqg","deepseek1.5b_aime_brumo_eval_20260327_181420_step_4400","0"
